date,Technology,Financials,Healthcare,Energy,ConsumerDiscret,ConsumerStaples,Industrials,Materials,Utilities,RealEstate,Communication,SP500,NASDAQ,DowJones,VIX,TBond10Y,SP500_return,NASDAQ_return,DowJones_return,VIX_return,TBond10Y_return,year,month,weekday,crisis_dotcom,crisis_gfc,crisis_covid,crisis_rate_hike
2006-11-14,0.013850230241260753,0.005143906182415403,0.007227036824403905,0.0047377170532365565,0.017630989909750497,0.007117022884993853,0.00732267860543565,0.0003044679264051374,0.0019484392153963693,0.015286625433903623,0.003988368645701216,12218.009765625,1393.219970703125,2430.659912109375,4.567999839782715,10.5,0.007099467159621398,0.006356399415263114,0.010089857162742355,-0.00803478374321831,-0.033149140705165725,2006,11,1,0,0,0,0
2006-11-15,0.0020889758434102013,0.0006239652426313525,0.007546560340392052,0.015413126916024311,0.006524712165371732,-0.000534405096235825,0.007226754125948953,0.0062983545351952275,-0.0017739917482598733,0.0055448641131542135,0.0004031700852615283,12251.7099609375,1396.5699462890625,2442.75,4.614999771118164,10.3100004196167,0.0027582393498584157,0.002404484328664136,0.004973994029519702,0.010288952054272604,-0.018095198131742984,2006,11,2,0,0,0,0
2006-11-16,0.007440581228271415,0.006585719454880468,0.002672943407307566,-0.03106662544068911,0.0061765113906148,0.0073902045273770665,0.006691961676654678,-0.009529471750862321,0.003516559226885374,0.001974756575382286,-4.452684841023865e-05,12305.8203125,1399.760009765625,2449.06005859375,4.65500020980835,10.15999984741211,0.004416555055173577,0.002284213178895156,0.0025831782187084595,0.008667484436406303,-0.014549036479104882,2006,11,3,0,0,0,0
2006-11-17,-0.0017836537531268793,0.00024164695574168115,0.005674359657011328,0.010370077799797678,-0.008333592617005461,0.0018373469322827069,0.001484795477551437,0.0034796318426684922,0.0029229582238639697,-0.002509097844034891,0.002622091398693368,12342.5595703125,1401.199951171875,2445.860107421875,4.60699987411499,10.050000190734863,0.0029855187935079464,0.0010287059183031744,-0.0013066037970961286,-0.01031156466807881,-0.010826738024534932,2006,11,4,0,0,0,0
2006-11-20,0.0033789354071000477,0.0021393823888024243,-0.006015266791338101,-0.005508888206797569,-0.004303976430437548,0.0008190217358113009,-0.0028401853511635044,-0.008498459823627489,-0.0008924386864148203,0.026553723793232387,0.0024675788732108814,12316.5400390625,1400.5,2452.719970703125,4.59499979019165,9.970000267028809,-0.002108114698719743,-0.0004995369656483062,0.002804683416044007,-0.0026047502173298653,-0.0079601912624645,2006,11,0,0,0,0,0
2006-11-21,-0.0048120651689528395,-0.0011114076005156015,-0.0006982724794249995,0.02166245193396865,-0.0026810077556918416,-2.1521567511093328e-05,0.013613517493729743,0.016080846021619893,0.0011581966520687436,0.018248260661830072,0.006011132323582895,12321.58984375,1402.81005859375,2454.840087890625,4.578000068664551,9.899999618530273,0.00041000188944972926,0.001649452762406245,0.0008643943103265883,-0.0036996131236799457,-0.007021128046508673,2006,11,1,0,0,0,0
2006-11-22,0.009753432838161092,0.0016142765477067833,0.0034692224007399786,-0.005827252544863673,0.002910592575322127,0.0022322921201939844,0.002772634112522676,0.01031523429996575,0.002117995896409408,0.000707738228347321,-0.006348047093886329,12326.9501953125,1406.0899658203125,2465.97998046875,4.567999839782715,10.140000343322754,0.0004350373312596023,0.0023380978817977294,0.004537930039955063,-0.0021844099457939414,0.024242498387905043,2006,11,2,0,0,0,0
2006-11-24,0.00046170930252477095,-0.002225133408464963,-0.005030617120450819,-0.003747955170310846,-0.00850115274656349,-0.004603659803670279,-0.0032847792032977387,0.001042505832550142,0.0021124243152174206,0.004449100038591258,-0.0022664920042378043,12280.169921875,1400.949951171875,2460.260009765625,4.547999858856201,10.729999542236328,-0.0037949592313019087,-0.0036555375355650233,-0.002319552773513478,-0.004378279690890885,0.05818532336659055,2006,11,4,0,0,0,0
2006-11-27,-0.02475869073078223,-0.017188683087189238,-0.010171410129906387,-0.005419456764845232,-0.015177910859847182,-0.01080453849194523,-0.01672275319125368,-0.014098203942617293,-0.009530952086927457,-0.02544447114162679,-0.014170757065362768,12121.7099609375,1381.9599609375,2405.919921875,4.538000106811523,12.300000190734863,-0.012903727061238102,-0.013555081120842472,-0.02208713212218638,-0.002198714238129451,0.14631879920577506,2006,11,0,0,0,0,0
2006-11-28,0.00774972511370905,0.0012251222009972752,0.005684394625836796,0.01913636847300143,-0.0040010596580476315,0.002085749924357493,0.0007903732650118456,-0.0040040824270891,0.008201178793057295,-0.005406705605721851,0.005855714307352562,12136.4501953125,1386.719970703125,2412.610107421875,4.508999824523926,11.619999885559082,0.0012160193918597795,0.0034443905034671207,0.002780718296584439,-0.006390542442709091,-0.05528457679927523,2006,11,1,0,0,0,0
